Address (Brooklyn),Close Date,Sale Price,Neighborhood,Square Footage (ft2),PPSF,Type,Beds,Baths,Living Room Width,Living Room Length,Bedroom 1 Width,Bedroom 1 Length,Bedroom 2 Width,Bedroom 2 Length,Bedroom 3 Width,Bedroom 3 Length,"Kitchen Type (Line, L-shape, Island, Galley)",Closets,Walk In (Living Room),Walk In (Master Bedroom),
625 East 24th Street,5/15/2023,"$1,999,000",Ditmas Park,"4,116",$486,House,6,4,20.4,23.6,11.4,15,8.4,10.1,11.4,13,Galley,14,1,1,
9956 Third Avenue #403,5/9/2023,"$689,000",Fort Hamilton,690,$999,Condo,1,1,12.9,20.6,11,13.9,,,,,Island,2,0,0,
6735 Ridge Boulevard #6S,2/9/2023,"$360,000",Bay Ridge,850,$424,Co-op,1,1,,,,,,,,,,,,,
30 Monroe Place #3B,2/20/2023,"$429,000", Brooklyn Heights,,#DIV/0!,Co-op,0,1,12.3,19.6,,,,,,,Galley,3,0,0,
1 Clinton Street #3E,7/19/2023,"$2,500,000",Brooklyn Heights,"1,671","$1,496",Condo,2,2.5,14.3,12.9,11.6,12.9,,,,,Island,2,0,1,
269 4th Avenue #404,3/1/2023,"$840,000",Park Slope,627,"$1,340",Condo,1,1,17.1,13,11.2,9,,,,,Line,2,0,0,
2935 West 5th Street #3A,4/26/2023,"$315,000",Coney Island,700,$450,Co-op,1,1,,,,,,,,,,,,,
3400 Snyder Avenue #4Y,1/6/2023,"$189,000",East Flatbush,,#DIV/0!,Co-op,0,1,12,19.5,,,,,,,,3,0,0,
145 Prospect Park West #2F,8/7/2023,"$1,249,000",Park Slope,770,"$1,622",Condo,2,1,13.7,13.2,10.6,10,10,8.5,,,Island,4,0,0,
3500 Snyder Avenue #2N,9/7/2023,"$229,000",East Flatbush,,#DIV/0!,Co-op,1,1,12,19.8,11,17,,,,,Galley,4,0,0,
960 Sterling Place #1E,1/12/2023,"$335,000",Crown Heights,,#DIV/0!,Co-op,0,1,17.8,11.6,,,,,,,Galley,2,0,0,
2321 East 26th Street,9/28/2022,"$748,000",Homecrest,"1,890",$396,House,3,2.5,,,,,,,,,,,,,
1015 President Street #4F,2/6/2023,"$1,125,000",Crown Heights,925,"$1,216",Condo,2,2.5,21.3,12.8,9.4,9.9,11.2,9.1,,,Island,4,0,0,
214 North 11th Street #2T,6/2/2023,"$1,425,000",Williamsburg,"1,217","$1,171",Condo,2,2,18.4,122.7,14.11,11.2,9.1,12.3,,,Island,3,0,0,
7609 Fourth Avenue #D11,3/14/2023,"$299,000",Bay Ridge,,#DIV/0!,Co-op,1,1,12,17,12,14,,,,,Line,4,0,0,
370 Union Street #2B,1/20/2023,"$1,250,000",Carroll Gardens,,#DIV/0!,Condo,3,1,12.9,13.9,12.5,13.8,11.6,9.6,9.8,9.5,L-shape,4,0,0,
2543 East 63rd Street,1/24/2023,"$609,000",Mill Basin,"1,200",$508,House,3,1,,,,,,,,,,,,,
251 1st Street #4C,3/12/2023,"$1,450,000",Park Slope,"1,017","$1,426",Condo,2,2,17.9,12.6,11.3,15.8,10.7,9.5,,,Island,2,1,1,
293 Rugby Road,1/19/2023,"$2,600,000",Ditmas Park,"3,942",$660,Multi-family,5,3.5,22.7,21,17,11.9,16,12.2,15.4,13.3,Island,9,0,0,
753A Union Street #1,2/2/2023,"$950,000",Park Slope,,#DIV/0!,Co-op,2,1,11.6,17.2,8.8,10,6.2,13.8,,,Island,3,0,0,
2287 Pacific Street,4/6/2023,"$560,000",Crown Heights,960,$583,House,2,2,16.2,24.2,10.11,16.1,11.11,14.7,10.1,10.1,Line,4,0,0,
415 Saint John's Place #1C,1/18/2023,"$1,095,000",Prospect Heights,,#DIV/0!,Co-op,2,1,21,14.2,9.3,13,13.2,10.2,,,Galley,3,0,0,
221 Mcdonald Avenue #2L,2/25/2023,"$695,000",Windsor Terrace,"1,075",$647,Co-op,2,1,,,,,,,,,,,,,
1180 East 54th Street,1/17/2023,"$1,520,000",East Flatbush,"2,875",$529,Multi-family,9,6,,,,,,,,,,,,,
444 Clinton Avenue,2/3/2023,"$4,795,000",Clinton Hill,"3,347","$1,433",Townhouse,4,4.5,16.5,16,16.5,13.1,16.4,10.3,,,Island,3,0,1,
217 Franklin Street #4,3/28/2023,"$1,425,000",Greenpoint,969,"$1,471",Condo,2,2,12.3,19.9,11,11.5,10,8.7,,,Island,3,0,0,
1350 Ocean Parkway #4E,4/7/2023,"$410,000",Midwood,"1,102",$372,Co-op,2,2,11.1,20.1,11.11,21.1,14.6,10.1,,,Galley,5,0,0,
370 Ocean Parkway #5G,4/27/2023,"$559,000",Kensington,,#DIV/0!,Co-op,2,1,15.9,11.1,17,10.1,9.5,11.8,,,Galley,4,1,0,
75 Livingston Street #17AB,3/1/2023,"$3,500,000",Brooklyn Heights,"2,187","$1,600",Co-op,4,2,13.9,18.4,20.9,14.9,19.7,13.8,13.7,17.6,Island,3,0,1,
159 Carlton Avenue #2B,1/19/2023,"$1,850,000",Fort Greene,"1,535","$1,205",Condo,3,2,14.9,15.6,20,19.7,11.1,11,11.2,10.7,Island,12,0,0,
327 East 7th Street,1/3/2023,"$1,495,000",Kensington,,#DIV/0!,Multi-family,6,3,15,12.8,11.5,10.5,11.5,10.5,13.7,13.3,Galley,3,1,0,
26 Verandah Place,1/25/2023,"$5,750,000",Cobble Hill,"3,169","$1,814",Townhouse,4,2.5,14.9,16.4,15,11,10,15,11.6,14,Island,4,0,1,
60 Oceana Drive #1A,5/5/2023,"$775,000",Brighton Beach,"1,248",$621,Condo,2,2,,,,,,,,,,,,,
353 Sixth Avenue,2/1/2023,"$3,800,000",Park Slope,"4,345",$875,Multi-family,11,4,15.4,11.1,15.1,11,10,11.1,9,10.8,Galley,8,0,0,
77 Clarkson Avenue #6F,4/13/2023,"$625,000",Prospect Lefferts Gardens,620,"$1,008",Condo,1,1,14.7,11.8,11.5,10.6,,,,,Island,2,0,0,
52 Sterling Place #2,2/9/2023,"$2,200,000",Park Slope,"1,750","$1,257",Co-op,3,1.5,17.2,19,17.2,18.6,10.8,16.4,5.8,10.4,Line,3,0,0,
10 Nevins Street #12E,1/25/2023,"$649,000",Downtown Brooklyn,462,"$1,405",Condo,0,1,16.1,13.1,,,,,,,Line,1,0,0,
532 8th Street,1/16/2023,"$3,695,000",Park Slope,,#DIV/0!,Townhouse,6,3,13.4,20,10.6,18.3,8.9,10.8,12,20,Galley,5,0,0,
495 First Street #2,1/18/2023,"$995,000",Park Slope,,#DIV/0!,Co-op,1,1,17,17.6,,,,,,,L-shape,3,0,0,
531 Maple Street #6,3/21/2023,"$1,050,000",Wingate,"1,495",$702,Condo,3,2,15.1,15.11,16.2,15.5,11,14.9,12,14.4,Galley,5,0,0,
128 Midwood Street,4/26/2023,"$1,899,000",Prospect Lefferts Gardens,"2,916",$651,House,5,3,12.6,24.8,14.9,16.7,10.1,13.7,19,15.8,Galley,4,0,0,
1060 Jefferson Avenue #1A,5/4/2023,"$699,000",Bushwick,"1,141",$613,Condo,1,1.5,8.2,12.3,12.11,12.9,,,,,L-shape,2,0,0,
1138 Ocean Avenue #25,6/12/2023,"$850,000",Ditmas Park,"1,275",$667,Condo,2,2,28,18.9,15.4,11.11,15.4,11.11,14.7,9.3,Island,5,0,0,
112 Dare Court,6/6/2023,"$559,999",Gerritsen Beach,"1,248",$449,House,3,1.5,,,,,,,,,,,,,
294 Quincy Street #3A,8/4/2023,"$764,990",Bedford-Stuyvesant,700,"$1,093",Condo,2,1,9.4,20.4,9.2,11.1,8.6,10.5,,,Galley,2,0,0,
225 Monitor Street,8/11/2023,"$1,900,000",Greenpoint,"2,684",$708,Multi-family,6,2.5,12.6,23.4,18.3,16.11,14.7,13.7,11.1,14.7,Galley,0,0,1,
114 Patchen Avenue,7/13/2023,"$1,150,000",Stuyvesant Heights,"2,372",$485,Multi-family,4,3,,,,,,,,,,,,,
1849 Park Place,8/16/2023,"$899,000",Crown Heights,"2,955",$304,Multi-family,8,3,,,,,,,,,,,,,
255 Monroe Street,6/26/2023,"$1,600,000",Bedford-Stuyvesant,"3,152",$508,House,4,2,13.2,23.5,13.7,17.2,14.1,14.3,6.2,10.7,Island,8,0,0,
859 Avenue Z,5/15/2023,"$1,099,000",Sheepshead Bay,,#DIV/0!,Multi-family,5,3,,,,,,,,,,,,,
5518 Seventh Avenue,10/20/2023,"$2,388,000",Sunset Park,,#DIV/0!,Multi-family,5,2,,,,,,,,,,,,,
280 Ocean Parkway #4S,7/7/2023,"$349,000",Kensington,,#DIV/0!,Co-op,1,1,11.1,19.7,8.5,12.4,,,,,Galley,3,0,0,
537 New Jersey Avenue,6/26/2023,"$1,150,000",East New York,"3,000",$383,multi-family,6,4,,,,,,,,,,,,,
641 Baltic Street,5/25/2023,"$2,499,000",Park Slope,,#DIV/0!,House,3,2,,,,,,,,,island,4,0,0,
30 Front Street #31B,12/15/2023,"$4,750,000",DUMBO,1700,"$2,794",Condo,2,2.5,20.1,18.3,12.3,12.3,10.1,9.1,,,Line,1,1,0,
959 Madison Street #5B,8/29/2023,"$925,000",Bushwick,803,"$1,152",Condo,2,2,21.5,18,11,,,,,,Galley,2,0,0,
308 North 7th Street #7D,6/28/2023,"$3,000,000",Williamsburg,"1,466","$2,046",Condo,3,2.5,23.3,14.6,14.1,12.2,10,10.3,11,10.5,island,4,0,1,
24 Remsen Street #1,4/8/2023,"$4,250,000",Brooklyn Heights,2185,"$1,945",Condo,4,2.5,21,10.6,13,19.6,10,11.2,10,12,island,5,0,1,
2800 Coyle Street #707,7/17/2023,"$319,000",Sheepshead Bay,750,$425,Co-op,1,1,12,19.2,10.8,15.7,,,,,Galley,3,0,0,
2232 Brigham Street #2K,11/16/2023,"$289,000",Homecrest,1000,$289,Co-op,2,1,,,,,,,,,,,,,
140 East Second Street #5O,11/13/2023,"$549,000",Windsor Terrace,685,$801,Co-op,1,1,11.11,19.8,11.7,16.11,,,,,Galley,4,0,0,
444 12th Street #PHB,6/1/2023,"$3,400,000",Park Slope,"1,830","$1,858",Condo,3,3,32.9,15,13.2,13.1,13.1,13.6,11.3,13.9,Island,4,0,1,
140 East Second Street #5T,7/8/2023,"$595,000",Windsor Terrace,700,$850,Co-op,1,1,11.5,19.11,11.1,17.4,,,,,Galley,4,0,0,
433 East 32nd Street,5/11/2023,"$998,000",Flatbush,"2,208",$452,House,3,2.5,24,14.5,11.2,13.2,8.1,9.5,11,9.4,Island,4,0,0,
9956 Third Avenue #204,6/16/2023,"$739,000",Fort Hamilton,685,"$1,079",Condo,1,1,12.6,20.6,,,,,,,Island,2,0,0,
550 Vanderbilt Avenue #1003,8/16/2023,"$1,600,000",Prospect Heights,995,"$1,608",Condo,2,2,11.1,27.8,10.11,11.7,14.6,11.9,,,L-shape,3,0,0,
2435 East 19th Street,8/14/2023,"$979,888",Sheepshead Bay,"2,116",$463,multi-family,3,2,11.6,13,14.9,8.3,12,,,,Galley,2,2,1,
9921 Fourth Avenue #3C,7/28/2023,"$799,000",Fort Hamilton,919,$869,Condo,2,2,,,,,,,,,,,,,
322 45th Street,8/5/2023,"$1,300,000",Sunset Park,"2,400",$542,multi-family,5,2,20.1,12.5,17.11,13.5,13.1,10.11,9,6.11,Galley,5,0,0,
15 West End Avenue #6A,10/31/2023,"$850,000",Brighton Beach,858,$991,Condo,2,2,12,15.6,9,13.3,9.2,15.16,,,Island,3,0,0,
15 West End Avenue #5B,10/25/2023,"$610,000",Manhattan Beach,595,"$1,025",Condo,1,1,12,24.1,9,13.1,,,,,Line,1,0,0,
100 Jay Street #18D,5/17/2023,"$795,000",DUMBO,557,"$1,427",Condo,0,1,18.6,10.1,12,8.7,,,,,Island,2,0,0,
1718 63rd Street,1/7/2024,"$2,648,888",Borough Park,"1,732","$1,529",House,4,2,,,,,,,,,Galley,5,0,0,
19 2nd Street,6/22/2023,"$2,395,000",Carroll Gardens,"2,025","$1,183",multi-family,4,2,,,,,,,,,,,,,
318 Knickerbocker Avenue #3F,11/29/2023,"$750,000",Bushwick,750,"$1,000",Condo,1,1,12,21,11.6,14,,,,,Galley,3,0,0,
1410 Avenue S #5E,5/16/2023,"$345,000",Homecrest,825,$418,Co-op,1,1,17.6,16.7,10.2,11.2,10.8,13.8,9.1,12.1,Galley,5,2,0,
227 Ocean Parkway #4A,8/21/2023,"$385,000",Kensington,,#DIV/0!,Co-op,1,1,20.4,11.1,15.9,11.3,,,,,Galley,3,0,0,
203 Bainbridge Street,6/23/2023,"$1,300,000",Stuyvesant Heights,,#DIV/0!,multi-family,5,3,,,,,,,,,,,,,
97 16th Street,7/13/2023,"$1,850,000",Gowanus,"2,240",$826,Townhouse,4,3,,,,,,,,,Line,2,0,0,
131 74th Street #2C,11/14/2023,"$318,000",Bay Ridge,725,$439,Co-op,1,1,12,19,11.6,14.9,,,,,Galley,5,0,0,
576 Lexington Avenue,6/29/2023,"$1,550,000",Stuyvesant Heights,"2,808",$552,multi-family,5,3.5,,,,,,,,,L-Shape,5,0,2,
575 Fourth Avenue #9C,7/22/2023,"$1,595,000",Park Slope,"1,276","$1,250",Condo,3,2.5,18,12,15,11,14.2,8.6,14.2,10,Island,3,1,1,
1075 Hancock Street,4/21/2023,"$1,895,000",Bushwick,"3,360",$564,multi-family,5,3.5,17.5,19.5,17.5,15.5,11,13,,,L-Shape,3,0,1,
458 East 25th Street #207,6/9/23,"$585,493",flatbush,,#DIV/0!,Condo,2,2,,,,,,,,,,,,,
115 York Street 17A-YORK,6/6/23,"$2,450,000",Dumbo,1291,"$1,898",Condo,2,2,18.3,19.8,10.1,15.3,10.99,11.2,,,Island,2,0,1,
115 York Street 9G-YORK,6/6/23,"$1,865,000",Dumbo,1219,"$1,530",Condo,2,2,16.9,12.3,12.5,12.7,10.95,13.95,,,L-shape,2,0,1,
196 Devoe Street Unit 4R,5/26/23,"$1,350,000",Williamsburg,,#DIV/0!,Condo,2,2,,,12.6,10,9.95,9.6,,,Island,4,0,0,
458 East 25th Street #407,6/9/23,"$650,000",flatbush,,#DIV/0!,Condo,2,2,,,,,,,,,,,,,
444 12th street #3d,6/2/2023,"$1,595,000",Park Slope,1120,"$1,424",Condo,2,2,15.4,15.6,13,11,10.4,11.3,,,Galley,4,0,0,
224 Richardson Street #3a,6/3/23,"$1,450,000",Williamsburg,965,"$1,503",Condo,2,2,,,,,,,,,,,,,
870 Pacific Street #4R,5/31/23,"$1,510,000",Prospect Heights,,#DIV/0!,Condo,2,2,12.6,24.95,12.2,13.4,10.1,11.4,,,Galley,2.5,0,0,
1 City Point #56H,5/23/23,"$2,345,975",Downtown Brooklyn,1178,"$1,991",Condo,2,2,20.3,12.95,12.2,12.7,13.7,11,,,Island,2,0,1,
20 Broadway #602,6/7/23,"$1,750,000",Williamsburg,1243,"$1,408",Condo,2,2.5,25,11.6,16.95,10.9,13.7,10,,,Island,2,0,1,
51 Jay Street #4m,5/24/23,"$1,950,000",Dumbo,1395,"$1,398",Condo,2,2.5,19.4,16.4,14.3,11.9,10.8,15.1,,,Island,1,1,1,
55 Maspeth Avenue #5R,6/9/23,"$1,499,000",East Williamsburg,1028,"$1,458",Condo,2,2,21.95,10.6,13.4,9.8,9,10.5,,,L-shape,2,0,1,
11 Hoyt Street #43H,6/13/23,"$1,975,000",Downtown Brooklyn,1228,"$1,608",Condo,2,2.5,21.6,12.99,14.95,12,12.3,10.8,,,Island,2,0,1,
324 Saint Marks Avenue #4w,6/9/23,"$1,685,000",Prospect Heights,1028,"$1,639",Condo,2,2,14.3,17,12,13.4,8.95,9.1,,,Island,2,0,1,
39 Jefferson Avenue #3,6/5/23,"$1,150,000",Bedford-Stuyvesant,900,"$1,278",Condo,2,2,18.2,11,10.6,13.8,8.9,9.95,,,Island,5,0,0,
1 City Point #59B,5/8/23,"$2,052,446",Downtown Brooklyn,1058,"$1,940",Condo,2,2,13.2,12.3,11.4,13.9,10.6,13.5,,,L-shape,2,0,1,
528 Union Avenue #PHC,5/4/23,"$1,595,000",Williamsburg,1039,"$1,535",Condo,2,2,21.3,16.5,12.6,15.8,10,12,,,Island,2,0,1,
497 Pacific Street #3c,6/6/23,"$1,215,000",Boerum Hill,,#DIV/0!,Condo,2,1,22,17,10.8,9.95,13,8.4,,,Island,3,0,0,
830 Halsey Street #1R,6/5/23,"$890,000",Stuyvesant Heights,1300,$685,Condo,2,1.5,14.8,11.6,12.2,10.1,10.8,9,,,L-shape,3,0,0,
11 Hoyt Street #51F,5/23/23,"$1,680,000",Downtown Brooklyn,1001,"$1,678",Condo,2,2,14.99,12.6,13.4,12.4,10,10,,,Island,2,0,1,
427 Saint John's Place #4B,5/25/23,"$930,000",Prospect Heights,770,"$1,208",Condo,2,1,21,11.6,9.5,13.2,11.7,9.4,,,Galley,4,0,0,
85 1 Place #3,5/23/23,"$1,730,000",Carroll Gardens,,#DIV/0!,Condo,3,1.5,22.7,14.8,10.8,14.8,13.6,8,12.6,8,Island,3,0,0,
82 Irving Place #7C,6/15/23,"$1,250,000",Clinton Hill,1028,"$1,216",Condo,2,2,13.5,18,11.6,17,10.8,12.9,,,Line,2,0,1,
1328 Sterling Place #3L,6/19/23,"$568,000",Weeksville,807,$704,Condo,2,1.5,12.9,13.2,12.7,18.7,8,10.9,,,L-Shape,2,0,2,
4610 Sixth Avenue #4F,6/15/23,"$700,000",Sunset Park,814,$860,Condo,3,1,13,13.9,11.2,10,10.3,11.9,11.4,15.3,L-Shape,2,0,0,
9 College Place #3L,6/5/23,"$2,695,000",Brooklyn Heights,1502,"$1,794",Condo,2,2,18.4,21.99,11.1,20.1,10.4,16.6,,,Island,7,0,0,
2080 77th Street #B1,5/26/23,"$555,000",Bensonhurst,818,$678,Condo,2,1,,,,,,,,,Galley,,,,
360 Furman Street #1206,6/7/23,"$2,775,000",Brooklyn Heights,1748,"$1,588",Condo,2,2,21.4,22.95,14.95,14.7,11,12.95,,,Island,1,0,3,
722 Carroll Street #2,5/26/23,"$1,225,000",Park Slope,926,"$1,323",Condo,2,1,19,11,12,15,11,9,,,Island,4,0,0,
22 North 6th Street #12C,4/17/23,"$2,350,000",Williamsburg,1110,"$2,117",Condo,2,2,12.9,17.4,13.7,17.7,13.3,10.2,,,Island,2,0,1,
2080 77th Street #A1,3/31/23,"$520,000",Bensonhurst,1083,$480,Condo,2,1,,,,,,,,,,,,,
1173 Rogers Avenue #2C,6/19/23,"$658,000",Flatbush,750,$877,Condo,2,2,10.2,17.5,9.6,16.4,8.4,12.4,,,Galley,2,0,1,
267 Evergreen Avenue #3A,4/24/23,"$999,000",Bushwick,1085,$921,Condo,2,2,15,19.8,12,13.6,11.6,10.95,,,Galley,2,0,1,
170 Broadway #4A,3/6/23,"$1,100,000",Williamsburg,807,"$1,363",Condo,2,1,17.6,18.3,12,16.5,9.6,10.3,,,Line,3,0,0,
135 North 11th Street #2G,4/7/23,"$1,650,000",Williamsburg,918,"$1,797",Condo,2,2,16.95,12.8,12.8,10.9,11.6,9.95,,,Island,4,0,0,
2934 Brighton 4th Street #D,3/20/23,"$550,000",Brighton Beach,,#DIV/0!,Condo,2,2,17.99,11.6,12.99,11.1,10.95,11.6,,,L-shape,2,0,1,
183 Mc Guinness Boulevard #5D,4/24/23,"$1,160,805",Greenpoint,798,"$1,455",Condo,2,2,10.99,14.9,8,11.9,8.6,11,,,Island,2,0,0,
186 Huron Street #1B,5/9/23,"$1,899,000",Greenpoint,1615,"$1,176",Condo,2,2.5,12,18.4,12,12.9,10.6,10,,,Island,3,0,1,
190 Garfield Place #3C,2/21/23,"$1,125,000",Park Slope,955,"$1,178",Condo,2,2,14,17,9,17,9,16,,,Galley,5,0,0,
8803 Bay 16th Street #2C,3/29/23,"$638,000",Bath Beach,880,$725,Condo,2,1.5,,,,,,,,,L-shape,,,,
346 93rd Street #2A,4/13/23,"$1,349,000",Fort Hamilton,1500,$899,Condo,2,2,18.9,23.5,12,13.6,11.3,11,,,L-shape,1,0,1,
1 City Point #63B,5/3/23,"$2,157,990",Downtown Brooklyn,1058,"$2,040",Condo,2,2,13.2,12.3,11.4,13.9,10.6,13.5,,,L-shape,2,0,1,
344 De Graw Street #4A,4/20/23,"$999,999",Carroll Gardens,,#DIV/0!,Condo,2,2,14.3,12,14.3,10,10.7,9,,,Galley,3,0,0,
184 Saint Marks Avenue #1,4/28/23,"$2,550,000",Prospect Heights,2162,"$1,179",Condo,2,2.5,11,10,9.4,12,8,12,,,Island,8,0,0,
61 Green Street #5,3/31/23,"$1,195,000",Greenpoint,1500,$797,Condo,2,1,59.4,15,12.95,10.6,8.6,7.4,,,Galley,1,0,0,
308 North 7th Street #GARDEN,5/15/23,"$1,850,000",Williamsburg,998,"$1,854",Condo,2,2,12.95,12.5,12,11.5,10,10.95,,,Galley,1,0,1,
1080 Lorimer Street #2J,4/25/23,"$1,675,000",Greenpoint,1292,"$1,296",Condo,2,2,11,22.7,10.99,15.95,10.6,15.95,,,Island,1,1,2,
1080 Lorimer Street #3C,4/27/23,"$1,620,000",Greenpoint,1159,"$1,398",Condo,2,2,13.6,21.95,10.6,11.6,10.1,12.7,,,Island,2,0,1,
360 Furman Street #810,5/31/23,"$1,850,000",Brooklyn Heights,1434,"$1,290",Condo,2,2,20.2,19.5,11.4,20,10.2,13.3,,,Island,2,0,1,
674 Hancock Street #3A,5/19/23,"$855,000",Stuyvesant Heights,850,"$1,006",Condo,2,2,9.7,17.5,8.6,19.5,8.5,14,,,Island,2,0,1,
44 Butler Place #4G,5/31/23,"$1,225,000",Prospect Heights,957,"$1,280",Condo,2,2,18,18.8,17.7,11.8,18,11.6,,,Galley,3,0,0,
138 Sackett Street #3A,6/1/23,"$1,275,000",Waterfront District,996,"$1,280",Condo,2,2,17.9,11.99,11.99,9.99,12.99,9.99,,,Galley,4,0,0,
111 Montgomery Street,6/6/23,"$1,060,000",Crown Heights,736,"$1,440",Condo,2,1,17.7,11.99,11.5,10,11,10.99,,,Galley,,,,
1 Clinton Street #6E,6/14/23,"$2,750,000",Brooklyn Heights,1597,"$1,722",Condo,2,2,13.9,22.3,12.3,13,9.3,13.1,,,Galley,,,,
346 Coney Island Ave,2/26/2023,"$999,000",Windsor Terrace,1428,$700,Condo,2,2,32.9,17.9,13.2,17.11,11.8,14,,,L-Shaped,3,,1,
526 Union Avenue #403,5/14/23,"$1,425,000",Williamsburg,976,"$1,460",Condo,2,2,13,27,11,10.11,10.4,11.6,,,L Shape,3,,1,
306 Gold Street 32A,2/17/23,"$1,530,000",Downtown Brooklyn,,#DIV/0!,Condo,2,2,15.7,12.7,12,14.3,11.8,10.4,,,Galley,3,,1,
50 Bridge Park Drive #15E,-,"$2,125,000",Brooklyn Heights,1214,"$1,750",Condo,2,2,13.8,22.7,12.3,13.1,12,13,,,Island,2,,0,
245 Manhattan Ave #1A,,"$1,485,000",Williamsburg,1539,$965,Condo,2,2,17.99,15.4,7.3,12.5,,,,,Galley,3,,0,
590 6th Street #1L,6/14/23,"$2,650,000",Park Slope,2019,"$1,313",Condo,2,2.5,12.8,22.3,10.7,13,8.8,11.9,,,Island,3,,0,
103 Meserole Street #1B,3/13/23,"$1,200,000",Williamsburg,1129,"$1,063",Condo,2,1.5,12,11.2,22.5,17.99,13.4,10.7,,,L Shaped,4,,0,
829 Bay 47th Street #7,4/27/23,"$829,000",Gravesend,1622,$511,Condo,2,3,22.2,13.1,14.6,23.2,10.8,17.5,,,?,2,,2,
180 Front Street 3B - Front,-,"$1,890,000",Dumbo,1211,"$1,561",Condo,2,2,12.5,17.1,12.5,14.8,10.99,15.5,,,L-Shaped,3,,1,
343 Fourth Avenue #10A,6/1/23,"$1,050,000",Park Slope,,#DIV/0!,Condo,2,2,16.3,12.8,11,12.6,10,8.9,,,Island,4,,0,
190 Garfield Place #1D,5/2/23,"$1,750,000",Park Slope,1298,"$1,348",Condo,2,2,13.5,11.6,19.7,10.8,16.5,11,,,L-Shaped,4,,2,
360 Tompkins Ave #1,5/10/23,"$1,195,000",Bedford-Stuyvesant,1165,"$1,026",Condo,2,1.5,13.3,16.8,9.4,14.3,8.3,10.11,,,Island,5,,0,
316 Second Street #5E,1/12/23,"$1,499,000",Park Slope,991,"$1,513",Condo,2,1,13.6,9,14.6,13,8.5,10.4,,,L-Shaped,4,,0,
85 North Third Street #514,11/10/22,"$5,995,000",Williamsburg,2200,"$2,725",Condo,2,2.5,17.5,27,16.8,13.8,16.5,14.2,,,Island,2,,1,
407 Sackett Street,11/09/22,"$2,995,000",Cobble Hill,1510,"$1,983",Condo,2,2,16.7,11.9,13.1,15.3,15,10,,,Island,5,,1,
196 Lefferts Place #A,12/31/22,"$1,650,000",Bedford-Stuyvesant,1923,$858,Condo,2,1.5,15.2,33.5,24.1,12.1,11.9,10.4,,,Island,9,,1,
116 2 Place #4,1/4/23,"$1,695,000",Carroll Gardens,1084,"$1,564",Condo,2,2,22.9,19.2,11.99,10,8.8,9.9,,,Island,3,,,
446 Kent Avenue #6B,12/31/22,"$1,195,000",Williamsburg,1121,"$1,066",Condo,2,2,12.99,25.99,11,16.7,11,11.8,,,Island,3,,1,
1 City Point #36A,10/20/22,"$2,156,730",Downtown Brooklyn,1175,"$1,836",Condo,2,2,19.3,13,12.8,12.9,12.7,11,,,Island,3,,1,
11 Hoyt Street #54G,-,"$2,175,000",Downtown Brooklyn,1281,"$1,698",Condo,2,2,20.4,14.3,12.1,11,12.3,10.9,,,Island,3,,0,
794 Dekalb Avenue #A3,1/27/23,"$850,000",Bedford-Stuyvesant,1085,$783,Condo,2,2,18,23.8,11,10.2,8.2,13.3,,,Galley,3,,0,
11 Hoyt Street #51K,12/22/22,"$2,175,000",Cobble Hill,1281,"$1,698",Condo,2,2,20.4,14.3,12.1,11,12.4,10.9,,,Island,3,,1,
2919 Brighton 8th Street #3B,3/23/23,"$599,000",Brighton Beach,1060,$565,Condo,2,2,18.8,11,11,9,11,9,,,Galley,4,,1,
254 North 6th Street #2,12/17/22,"$2,350,000",Williamsburg,1408,"$1,669",Condo,2,2.5,10.7,17.9,11.3,17.8,16.9,15.3,,,Island,4,,2,
323 Lenox Road #4F,4/14/23,"$735,000",Flatbush,,#DIV/0!,Condo,2,2,16.11,11.5,11.99,11.1,8.9,10.3,,,Galley,2,,0,
762 Park Place #4C,12/12/22,"$1,125,000",Crown Heights,976,"$1,153",Condo,2,2,13.9,29.1,10.1,12.4,9.99,10.99,,,Island,6,,0,
175 Jackson Street #4C,9/21/22,"$1,298,000",Williamsburg,920,"$1,411",Condo,2,2,11.6,16.3,9.99,12.5,9,10.5,,,Galley,2,,0,
440 Kent Avenue #19E,12/19/22,"$1,500,000",Williamsburg,1246,"$1,204",Condo,2,2,17,18.6,15.1,16.6,11.2,11.7,,,Island,2,,3,
306 Gold Street #21D,5/11/23,"$1,389,000",Downtown Brooklyn,1092,"$1,272",Condo,2,2,11.4,23.11,12.6,13.7,11.3,14.1,,,Galley,4,,0,
1638 Eight Avenue #1F,12/15/22,"$1,650,000",Park Slope,1694,$974,Condo,2,3,13.99,18.6,13.99,13.9,11.3,15.4,,,Island,4,,0,
892 Bergen Street #10D,12/11/22,"$1,350,000",Crown Heights,,#DIV/0!,Condo,2,2,12.8,13.3,11,12,10.1,11.7,,,Island,4,,,
11 Hoyt Street #23A,,"$1,675,000",Downtown Brooklyn,1201,"$1,395",Condo,2,2,12.8,24.9,12.8,11.3,12.5,11.5,,,Galley,4,,1,
525 Dean Street #315,2/3/23,"$2,299,000",Prospect Heights,,#DIV/0!,Condo,2,2,17.9,19.4,11.6,21.2,10.99,20.4,,,Island,2,,1,
23 Wycoff Street #1,1/29/23,"$2,525,000",Cobble Hill,1669,"$1,513",Condo,2,2.5,13,13.99,15.1,10.9,12.4,10.4,,,Island,1,,1,
